fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label
12.0,1.28,1.22,37.5,0.302,145.1,281.0,1.02752,2.87,1.64,12.0,good
12.3,0.76,1.12,55.4,0.363,195.3,353.2,1.01511,3.38,1.04,11.3,bad
15.0,1.14,0.56,53.0,0.391,249.2,219.6,1.02496,2.93,1.41,10.1,bad
10.1,1.11,0.92,54.4,0.265,200.6,293.2,1.02075,3.62,1.12,11.5,bad
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,bad
11.7,1.16,0.91,35.1,0.368,156.9,376.1,1.0149,3.03,1.28,13.2,bad
11.0,1.47,0.69,50.2,0.236,192.3,322.7,1.01338,3.17,1.29,13.9,bad
11.9,1.06,1.07,46.1,0.299,154.8,336.0,1.02071,3.22,0.96,12.4,good
11.6,0.95,0.87,43.5,0.262,182.1,234.6,1.01476,3.18,1.37,10.4,good
11.1,0.75,1.06,40.8,0.247,200.3,307.0,1.01028,3.39,1.37,11.4,good
14.7,0.77,0.95,57.2,0.322,187.8,388.2,1.00128,3.33,1.59,10.8,good
10.3,1.0,1.32,42.9,0.167,202.4,301.4,1.02289,3.11,0.89,10.7,bad
7.2,0.39,0.44,2.6,0.066,22.0,48.0,0.99494,3.3,0.84,11.5,bad
10.5,1.22,1.25,37.2,0.331,157.7,206.5,1.01648,3.07,1.36,11.1,good
12.1,0.8,0.97,26.4,0.336,214.9,231.1,1.01985,3.15,1.16,11.3,good
13.6,0.8,0.59,24.8,0.251,233.8,393.9,1.00863,2.99,1.37,12.2,good
9.2,0.88,1.47,52.0,0.251,230.1,286.2,1.0219,3.28,0.9,13.9,good
11.1,1.15,0.96,50.2,0.18,155.1,319.1,1.02781,2.83,1.32,11.5,good
12.3,1.19,1.0,58.1,0.172,191.6,359.4,1.01793,2.93,1.6,10.7,bad
